Title,Authors,Published Year,Journal,Volume,Issue,Pages,DOI
Association Between Social Networks and Subjective Well-Being in Adolescents: A Systematic Review,"Webster, D; Dunne, L; Hunter, R",2021,YOUTH & SOCIETY,53,2,175-210,10.1177/0044118X20919589
A review of the use of mobile phone text messaging in clinical and healthy behaviour interventions,"Wei, J.; Hollin, I.; Kachnowski, S.",2011,Journal of Telemedicine and Telecare,17,1,41-48,
Internet addiction or excessive internet use,"Weinstein, Aviv; Lejoyeux, Michel",2010,The American Journal Of Drug And Alcohol Abuse,36,5,277-283,10.3109/00952990.2010.491880
The screens culture: Impact on ADHD,"Weiss, M. D.; Baer, S.; Allan, B. A.; Saran, K.; Schibuk, H.",2011,ADHD Attention Deficit and Hyperactivity Disorders,3,4,327-334,
Interactive social media interventions to promote health equity: an overview of reviews,"Welch, V.; Petkovic, J.; Pardo Pardo, J.; Rader, T.; Tugwell, P.",2016,"Health promotion and chronic disease prevention in Canada : research, policy and practice",36,4,63-75,
"A systematic review of physical activity, sedentary behavior, and substance use in adolescents and emerging adults.","West, Ashley B; Bittel, Kelsey M; Russell, Michael A; Evans, M Blair; Mama, Scherezade K; Conroy, David E",2020,Translational behavioral medicine,10,5,1155-1167,10.1093/tbm/ibaa008
Who's calling for weight loss? A systematic review of mobile phone weight loss programs for adolescents,"Wickham, C. A.; Carbone, E. T.",2015,Nutrition Reviews,73,6,386-398,
Can active video games improve physical activity in adolescents? A review of RCT,"Williams, W. M.; Ayres, C. G.",2020,International journal of environmental research and public health,17,2,669,http://dx.doi.org/10.3390/ijerph17020669
A review of the risks associated with children and young people’s social media use and the implications for social work practice,"Willoughby, Mark",2018,Journal of Social Work Practice,,,,10.1080/02650533.2018.1460587
A review of the risks associated with children and young people's social media use and the implications for social work practice,"Willoughby, Mark",2019,Journal of Social Work Practice,33,2,127-140,10.1080/02650533.2018.1460587
The impact of digital devices vs. Pen(cil) and paper on primary school students' writing skills - A research review,"Wollscheid, S.; Sjaastad, J.; Tomte, C.",2016,Computers & Education,95,,19-35,
Use of time and adolescent health-related quality of life/well-being: a scoping review,"Wong, M.; Lycett, K.; Olds, T.; Gold, L.; Wake, M.",2017,"Acta Paediatrica, International Journal of Paediatrics",106,8,1239-1245,
The Effects of mHealth-Based Gamification Interventions on Participation in Physical Activity: Systematic Review,"Xu, L.; Shi, H.; Shen, M.; Ni, Y.; Zhang, X.; Pang, Y.; Yu, T.; Lian, X.; Yang, X.; Li, F.",2022,JMIR Mhealth Uhealth,10,2,e27794,10.2196/27794
A scoping review of digital game-based technology on English language learning,"Xu, ZH; Chen, Z; Eutsler, L; Geng, ZH; Kogut, A",2020,ETR&D-EDUCATIONAL TECHNOLOGY RESEARCH AND DEVELOPMENT,68,3,877-904,10.1007/s11423-019-09702-2
Efficiency and tendency of the educational computer games in education: A document review,"Yağci, M.",2016,Turkish Online Journal of Educational Technology,2016,NovemberSpecialIssue,836-845,
Effectiveness of Mobile Apps in Promoting Healthy Behavior Changes and Preventing Obesity in Children: Systematic Review,"Yau, K. W.; Tang, T. S.; Görges, M.; Pinkney, S.; Kim, A. D.; Kalia, A.; Amed, S.",2022,JMIR Pediatr Parent,5,1,e34967,10.2196/34967
'Friending' teens: Systematic review of social media in adolescent and young adult health care,"Yonker, Lael M.; Zan, Shiyi; Scirica, Christina V.; Jethwani, Kamal; Kinane, T. Bernard",2015,Journal of Medical Internet Research,17,1,,10.2196/jmir.3692
Does gamification improve fruit and vegetable intake in adolescents? a systematic review.,"Yoshida-Montezuma, Yulika; Ahmed, Mustafa; Ezezika, Obidimma",2020,Nutrition and health,26,4,347-366,10.1177/0260106020936143
A Review of Research on Technology Enhancing Chinese Learning,"Yuan, Huanhuan; Wang, Zhiying",2021,,,,,http://dx.doi.org/10.1109/IEIT53597.2021.00109
School-Based Intervention Programs for Preventing Obesity and Promoting Physical Activity and Fitness: A Systematic Review,"Yuksel, H. S.; Sahin, F. N.; Maksimovic, N.; Drid, P.; Bianco, A.",2020,Int J Environ Res Public Health,17,1,,10.3390/ijerph17010347
Mini Review of the Use of the Mobile Phone and Its Repercussion in the Deficit of Physical Activity,"Zagalaz-Sanchez, M. L.; Cachon-Zagalaz, J.; Sanchez-Zafra, M.; Lara-Sanchez, A.",2019,Frontiers in psychology,10,,,10.3389/fpsyg.2019.01307
Therapeutic and Preventive Use of Video Games in Child and Adolescent Psychiatry: A Systematic Review,"Zayeni, D.; Raynaud, J. P.; Revet, A.",2020,Frontiers in psychiatry,11,,36,http://dx.doi.org/10.3389/fpsyt.2020.00036
Exergaming and obesity in youth: Current perspectives,"Zeng, N.; Gao, Z.",2016,International Journal of General Medicine,9,,275-284,
Acute Effects of Radiofrequency Electromagnetic Field Emitted by Mobile Phone on Brain Function,"Zhang, J.; Sumich, A.; Wang, G. Y.",2017,Bioelectromagnetics,38,5,329-338,
A systematic review of research on e-book-based language learning,"Zhang, Ruofei; Zou, Di; Xie, Haoran; Oliver Tat Sheung, Au; Fu Lee, Wang",2020,Knowledge Management & E-Learning,12,1,106-128,
Correlates of Sleep Duration in Early Childhood: A Systematic Review.,"Zhang, Zhiguang; Sousa-Sá, Eduarda; Pereira, João R; Okely, Anthony D; Feng, Xiaoqi; Santos, Rute",2021,Behavioral sleep medicine,19,3,407-425,10.1080/15402002.2020.1772264
Serious Games as a Complementary Tool for Social Skill Development in Young People: A Systematic Review of the Literature,"Zheng, LR; Oberle, CM; Hawkes-Robinson, WA; Daniau, S",,SIMULATION & GAMING,,,,10.1177/10468781211031283
The relationship between screen-based sedentary behaviors and symptoms of depression and anxiety in youth: a systematic review of moderating variables,"Zink, Jennifer; Belcher, Britni R.; Imm, Kellie; Leventhal, Adam M.",2020,BMC Public Health,20,1,Jan-37,10.1186/s12889-020-08572-1
Diet and Nutrition; Studies from Columbia University Further Understanding of Diet and Nutrition (The use of social media in nutrition interventions for adolescents and young adults-A systematic review),,2018,Health & Medicine Week,,,647,
The role of online social networking on deliberate self-harm and suicidality in adolescents: A systematized review of literature,,2018,Indian journal of psychiatry,60,4,384-392,10.4103/psychiatry.IndianJPsychiatry_414_17
Health and Medicine - Public Health; Studies from University of Victoria Update Current Data on Public Health (Correlates of Physical Activity and Sedentary Behaviour In the Thai Population: a Systematic Review),,2019,Aging & Elder Health Week,,,7562,
